case_id,activity,timestamp,resource,customer_type,priority,quantity,supplier
ORD-2025-0001,Sales Order Received,2025-10-06 09:53:00,Sales,B2C,standard,3,IberElec
ORD-2025-0001,Credit Check,2025-10-06 10:02:04,Finance,B2C,standard,3,IberElec
ORD-2025-0002,Sales Order Received,2025-10-06 12:59:00,Sales,B2C,standard,2,AsiaBatt
ORD-2025-0002,Credit Check,2025-10-06 13:08:02,Finance,B2C,standard,2,AsiaBatt
ORD-2025-0003,Sales Order Received,2025-10-06 15:01:00,Sales,B2C,standard,3,PowerTech
ORD-2025-0003,MRP Calculation,2025-10-06 15:07:43,Planning,B2C,standard,3,PowerTech
ORD-2025-0001,Production Started,2025-10-06 15:52:12,Production,B2C,standard,3,IberElec
ORD-2025-0004,Sales Order Received,2025-10-06 17:30:00,Sales,B2B,standard,7,IberElec
ORD-2025-0002,MRP Calculation,2025-10-06 17:43:53,Planning,B2C,standard,2,AsiaBatt
ORD-2025-0004,Credit Check,2025-10-06 17:45:37,Finance,B2B,standard,7,IberElec
ORD-2025-0003,Credit Check,2025-10-07 09:26:25,Finance,B2C,standard,3,PowerTech
ORD-2025-0003,Purchase Order Created,2025-10-07 09:59:41,Purchasing,B2C,standard,3,PowerTech
ORD-2025-0004,MRP Calculation,2025-10-07 10:33:01,Planning,B2B,standard,7,IberElec
ORD-2025-0005,Sales Order Received,2025-10-07 10:44:00,Sales,B2C,standard,3,AsiaBatt
ORD-2025-0005,Credit Check,2025-10-07 11:00:23,Finance,B2C,standard,3,AsiaBatt
ORD-2025-0005,MRP Calculation,2025-10-07 16:01:01,Planning,B2C,standard,3,AsiaBatt
ORD-2025-0002,Purchase Order Created,2025-10-07 16:20:53,Purchasing,B2C,standard,2,AsiaBatt
ORD-2025-0004,Purchase Order Created,2025-10-08 08:35:21,Purchasing,B2B,standard,7,IberElec
ORD-2025-0006,Sales Order Received,2025-10-08 09:43:00,Sales,B2C,urgent,3,PowerTech
ORD-2025-0006,Credit Check,2025-10-08 09:52:47,Finance,B2C,urgent,3,PowerTech
ORD-2025-0001,Production Completed,2025-10-08 09:53:15,Production,B2C,standard,3,IberElec
ORD-2025-0005,Purchase Order Created,2025-10-08 11:23:25,Purchasing,B2C,standard,3,AsiaBatt
ORD-2025-0001,QC Finished Goods,2025-10-08 13:01:39,Quality,B2C,standard,3,IberElec
ORD-2025-0001,Packaging,2025-10-08 13:55:14,Warehouse,B2C,standard,3,IberElec
ORD-2025-0001,Shipping,2025-10-08 15:47:50,Logistics,B2C,standard,3,IberElec
ORD-2025-0006,MRP Calculation,2025-10-08 16:11:50,Planning,B2C,urgent,3,PowerTech
ORD-2025-0004,Components Received,2025-10-09 08:07:30,Warehouse,B2B,standard,7,IberElec
ORD-2025-0007,Sales Order Received,2025-10-09 09:59:00,Sales,B2B,urgent,43,PowerTech
ORD-2025-0007,Credit Check,2025-10-09 10:07:30,Finance,B2B,urgent,43,PowerTech
ORD-2025-0006,Purchase Order Created,2025-10-09 11:05:53,Purchasing,B2C,urgent,3,PowerTech
ORD-2025-0008,Sales Order Received,2025-10-09 13:50:00,Sales,B2C,standard,2,EuroMotor
ORD-2025-0008,Credit Check,2025-10-09 14:02:39,Finance,B2C,standard,2,EuroMotor
ORD-2025-0004,QC Incoming,2025-10-09 15:46:21,Quality,B2B,standard,7,IberElec
ORD-2025-0009,Sales Order Received,2025-10-09 16:26:00,Sales,B2C,standard,2,EuroMotor
ORD-2025-0009,Credit Check,2025-10-09 16:39:01,Finance,B2C,standard,2,EuroMotor
ORD-2025-0007,MRP Calculation,2025-10-09 17:59:38,Planning,B2B,urgent,43,PowerTech
ORD-2025-0008,MRP Calculation,2025-10-10 08:14:44,Planning,B2C,standard,2,EuroMotor
ORD-2025-0004,Production Started,2025-10-10 08:19:52,Production,B2B,standard,7,IberElec
ORD-2025-0010,Sales Order Received,2025-10-10 09:18:00,Sales,B2C,standard,1,PowerTech
ORD-2025-0010,Credit Check,2025-10-10 09:24:53,Finance,B2C,standard,1,PowerTech
ORD-2025-0011,Sales Order Received,2025-10-10 10:16:00,Sales,B2C,standard,2,PowerTech
ORD-2025-0011,Credit Check,2025-10-10 10:29:25,Finance,B2C,standard,2,PowerTech
ORD-2025-0009,MRP Calculation,2025-10-10 11:07:28,Planning,B2C,standard,2,EuroMotor
ORD-2025-0010,MRP Calculation,2025-10-10 11:23:13,Planning,B2C,standard,1,PowerTech
ORD-2025-0005,Components Received,2025-10-10 12:51:09,Warehouse,B2C,standard,3,AsiaBatt
ORD-2025-0008,Purchase Order Created,2025-10-10 13:01:10,Purchasing,B2C,standard,2,EuroMotor
ORD-2025-0002,Components Received,2025-10-10 15:05:44,Warehouse,B2C,standard,2,AsiaBatt
ORD-2025-0011,MRP Calculation,2025-10-10 16:00:21,Planning,B2C,standard,2,PowerTech
ORD-2025-0007,Purchase Order Created,2025-10-10 16:02:13,Purchasing,B2B,urgent,43,PowerTech
ORD-2025-0010,Purchase Order Created,2025-10-10 16:20:20,Purchasing,B2C,standard,1,PowerTech
ORD-2025-0005,QC Incoming,2025-10-10 16:32:58,Quality,B2C,standard,3,AsiaBatt
ORD-2025-0005,Production Started,2025-10-10 16:38:58,Production,B2C,standard,3,AsiaBatt
ORD-2025-0004,Production Completed,2025-10-10 17:49:24,Production,B2B,standard,7,IberElec
ORD-2025-0002,QC Incoming,2025-10-13 08:06:39,Quality,B2C,standard,2,AsiaBatt
ORD-2025-0012,Sales Order Received,2025-10-13 08:32:00,Sales,B2B,urgent,36,IberElec
ORD-2025-0012,Credit Check,2025-10-13 08:35:00,Finance,B2B,urgent,36,IberElec
ORD-2025-0004,QC Finished Goods,2025-10-13 08:53:03,Quality,B2B,standard,7,IberElec
ORD-2025-0002,Production Started,2025-10-13 09:51:36,Production,B2C,standard,2,AsiaBatt
ORD-2025-0009,Purchase Order Created,2025-10-13 10:32:07,Purchasing,B2C,standard,2,EuroMotor
ORD-2025-0013,Sales Order Received,2025-10-13 10:53:00,Sales,B2C,standard,2,AsiaBatt
ORD-2025-0013,Credit Check,2025-10-13 11:10:27,Finance,B2C,standard,2,AsiaBatt
ORD-2025-0014,Sales Order Received,2025-10-13 13:11:00,Sales,B2C,standard,3,AsiaBatt
ORD-2025-0014,Credit Check,2025-10-13 13:19:13,Finance,B2C,standard,3,AsiaBatt
ORD-2025-0004,Packaging,2025-10-13 13:39:13,Warehouse,B2B,standard,7,IberElec
ORD-2025-0013,MRP Calculation,2025-10-13 13:45:04,Planning,B2C,standard,2,AsiaBatt
ORD-2025-0015,Sales Order Received,2025-10-13 14:21:00,Sales,B2C,standard,3,AsiaBatt
ORD-2025-0015,Credit Check,2025-10-13 14:29:17,Finance,B2C,standard,3,AsiaBatt
ORD-2025-0004,Shipping,2025-10-13 15:20:33,Logistics,B2B,standard,7,IberElec
ORD-2025-0011,Purchase Order Created,2025-10-13 15:21:20,Purchasing,B2C,standard,2,PowerTech
ORD-2025-0014,MRP Calculation,2025-10-13 15:40:50,Planning,B2C,standard,3,AsiaBatt
ORD-2025-0016,Sales Order Received,2025-10-13 16:20:00,Sales,B2C,urgent,1,EuroMotor
ORD-2025-0016,Credit Check,2025-10-13 16:23:50,Finance,B2C,urgent,1,EuroMotor
ORD-2025-0017,Sales Order Received,2025-10-13 17:36:00,Sales,B2C,standard,2,EuroMotor
ORD-2025-0018,Sales Order Received,2025-10-13 17:43:00,Sales,B2C,urgent,1,IberElec
ORD-2025-0017,Credit Check,2025-10-13 17:44:27,Finance,B2C,standard,2,EuroMotor
ORD-2025-0018,Credit Check,2025-10-13 17:54:47,Finance,B2C,urgent,1,IberElec
ORD-2025-0014,Purchase Order Created,2025-10-13 18:00:32,Purchasing,B2C,standard,3,AsiaBatt
ORD-2025-0012,MRP Calculation,2025-10-14 08:50:49,Planning,B2B,urgent,36,IberElec
ORD-2025-0015,MRP Calculation,2025-10-14 10:13:54,Planning,B2C,standard,3,AsiaBatt
ORD-2025-0018,MRP Calculation,2025-10-14 11:10:17,Planning,B2C,urgent,1,IberElec
ORD-2025-0016,MRP Calculation,2025-10-14 12:04:38,Planning,B2C,urgent,1,EuroMotor
ORD-2025-0001,Delivered,2025-10-14 12:58:01,Logistics,B2C,standard,3,IberElec
ORD-2025-0013,Purchase Order Created,2025-10-14 13:11:32,Purchasing,B2C,standard,2,AsiaBatt
ORD-2025-0012,Purchase Order Created,2025-10-14 13:19:06,Purchasing,B2B,urgent,36,IberElec
ORD-2025-0019,Sales Order Received,2025-10-14 13:25:00,Sales,B2C,standard,1,PowerTech
ORD-2025-0016,Purchase Order Created,2025-10-14 13:35:02,Purchasing,B2C,urgent,1,EuroMotor
ORD-2025-0019,MRP Calculation,2025-10-14 13:44:37,Planning,B2C,standard,1,PowerTech
ORD-2025-0009,Components Received,2025-10-14 14:54:47,Warehouse,B2C,standard,2,EuroMotor
ORD-2025-0015,Purchase Order Created,2025-10-14 15:24:11,Purchasing,B2C,standard,3,AsiaBatt
ORD-2025-0019,Credit Check,2025-10-14 16:03:41,Finance,B2C,standard,1,PowerTech
ORD-2025-0017,MRP Calculation,2025-10-14 17:11:46,Planning,B2C,standard,2,EuroMotor
ORD-2025-0005,Production Completed,2025-10-15 08:50:06,Production,B2C,standard,3,AsiaBatt
ORD-2025-0009,QC Incoming,2025-10-15 09:31:50,Quality,B2C,standard,2,EuroMotor
ORD-2025-0019,Purchase Order Created,2025-10-15 10:20:28,Purchasing,B2C,standard,1,PowerTech
ORD-2025-0017,Purchase Order Created,2025-10-15 10:22:23,Purchasing,B2C,standard,2,EuroMotor
ORD-2025-0005,QC Finished Goods,2025-10-15 11:30:19,Quality,B2C,standard,3,AsiaBatt
ORD-2025-0018,Purchase Order Created,2025-10-15 12:08:23,Purchasing,B2C,urgent,1,IberElec
ORD-2025-0005,Packaging,2025-10-15 13:13:19,Warehouse,B2C,standard,3,AsiaBatt
ORD-2025-0002,Production Completed,2025-10-15 13:39:45,Production,B2C,standard,2,AsiaBatt
ORD-2025-0008,Components Received,2025-10-15 14:50:09,Warehouse,B2C,standard,2,EuroMotor
ORD-2025-0009,Production Started,2025-10-15 15:05:46,Production,B2C,standard,2,EuroMotor
ORD-2025-0005,Shipping,2025-10-15 15:06:28,Logistics,B2C,standard,3,AsiaBatt
