case_id,activity,timestamp,resource,customer_type,priority,quantity,supplier
ORD-2026-0001,Sales Order Received,2026-04-20 13:04:00,Sales,B2C,standard,3,AsiaBatt
ORD-2026-0001,Credit Check,2026-04-20 13:13:46,Finance,B2C,standard,3,AsiaBatt
ORD-2026-0001,MRP Calculation,2026-04-20 15:14:08,Planning,B2C,standard,3,AsiaBatt
ORD-2026-0002,Sales Order Received,2026-04-21 08:06:00,Sales,B2C,standard,1,EuroMotor
ORD-2026-0002,Credit Check,2026-04-21 08:19:26,Finance,B2C,standard,1,EuroMotor
ORD-2026-0003,Sales Order Received,2026-04-21 11:12:00,Sales,B2C,standard,2,EuroMotor
ORD-2026-0003,Credit Check,2026-04-21 11:34:51,Finance,B2C,standard,2,EuroMotor
ORD-2026-0001,Purchase Order Created,2026-04-21 11:39:17,Purchasing,B2C,standard,3,AsiaBatt
ORD-2026-0004,Sales Order Received,2026-04-21 12:39:00,Sales,B2C,standard,2,IberElec
ORD-2026-0004,Credit Check,2026-04-21 12:53:51,Finance,B2C,standard,2,IberElec
ORD-2026-0005,Sales Order Received,2026-04-21 13:42:00,Sales,B2C,standard,3,EuroMotor
ORD-2026-0006,Sales Order Received,2026-04-21 13:52:00,Sales,B2B,standard,17,EuroMotor
ORD-2026-0005,Credit Check,2026-04-21 14:08:23,Finance,B2C,standard,3,EuroMotor
ORD-2026-0006,Credit Check,2026-04-21 14:10:10,Finance,B2B,standard,17,EuroMotor
ORD-2026-0002,MRP Calculation,2026-04-21 15:09:33,Planning,B2C,standard,1,EuroMotor
ORD-2026-0004,MRP Calculation,2026-04-21 16:01:28,Planning,B2C,standard,2,IberElec
ORD-2026-0003,MRP Calculation,2026-04-21 17:13:56,Planning,B2C,standard,2,EuroMotor
ORD-2026-0007,Sales Order Received,2026-04-22 09:09:00,Sales,B2C,standard,1,AsiaBatt
ORD-2026-0007,Credit Check,2026-04-22 09:33:34,Finance,B2C,standard,1,AsiaBatt
ORD-2026-0003,Purchase Order Created,2026-04-22 10:09:21,Purchasing,B2C,standard,2,EuroMotor
ORD-2026-0005,Production Started,2026-04-22 10:47:57,Production,B2C,standard,3,EuroMotor
ORD-2026-0007,Production Started,2026-04-22 11:22:34,Production,B2C,standard,1,AsiaBatt
ORD-2026-0008,Sales Order Received,2026-04-22 11:30:00,Sales,B2C,standard,3,EuroMotor
ORD-2026-0002,Purchase Order Created,2026-04-22 11:48:13,Purchasing,B2C,standard,1,EuroMotor
ORD-2026-0008,Credit Check,2026-04-22 11:56:05,Finance,B2C,standard,3,EuroMotor
ORD-2026-0004,Purchase Order Created,2026-04-22 12:22:36,Purchasing,B2C,standard,2,IberElec
ORD-2026-0008,MRP Calculation,2026-04-22 14:43:43,Planning,B2C,standard,3,EuroMotor
ORD-2026-0006,MRP Calculation,2026-04-22 16:52:36,Planning,B2B,standard,17,EuroMotor
ORD-2026-0009,Sales Order Received,2026-04-23 08:06:00,Sales,B2C,urgent,3,EuroMotor
ORD-2026-0009,Credit Check,2026-04-23 08:13:00,Finance,B2C,urgent,3,EuroMotor
ORD-2026-0006,Purchase Order Created,2026-04-23 08:36:33,Purchasing,B2B,standard,17,EuroMotor
ORD-2026-0010,Sales Order Received,2026-04-23 08:48:00,Sales,B2C,standard,3,EuroMotor
ORD-2026-0011,Sales Order Received,2026-04-23 09:00:00,Sales,B2C,standard,1,EuroMotor
ORD-2026-0010,Credit Check,2026-04-23 09:15:52,Finance,B2C,standard,3,EuroMotor
ORD-2026-0011,Credit Check,2026-04-23 09:17:00,Finance,B2C,standard,1,EuroMotor
ORD-2026-0009,MRP Calculation,2026-04-23 12:09:49,Planning,B2C,urgent,3,EuroMotor
ORD-2026-0011,Production Started,2026-04-23 12:39:58,Production,B2C,standard,1,EuroMotor
ORD-2026-0010,Order Cancelled,2026-04-23 14:03:44,Sales,B2C,standard,3,EuroMotor
ORD-2026-0009,Purchase Order Created,2026-04-23 15:13:56,Purchasing,B2C,urgent,3,EuroMotor
ORD-2026-0008,Purchase Order Created,2026-04-23 16:15:39,Purchasing,B2C,standard,3,EuroMotor
ORD-2026-0004,Components Received,2026-04-23 16:56:28,Warehouse,B2C,standard,2,IberElec
ORD-2026-0005,Production Completed,2026-04-23 17:03:02,Production,B2C,standard,3,EuroMotor
ORD-2026-0004,QC Incoming,2026-04-24 08:04:41,Quality,B2C,standard,2,IberElec
ORD-2026-0004,Production Started,2026-04-24 10:23:34,Production,B2C,standard,2,IberElec
ORD-2026-0005,QC Finished Goods,2026-04-24 10:36:15,Quality,B2C,standard,3,EuroMotor
ORD-2026-0007,Production Completed,2026-04-24 12:28:59,Production,B2C,standard,1,AsiaBatt
ORD-2026-0007,QC Finished Goods,2026-04-24 14:04:30,Quality,B2C,standard,1,AsiaBatt
ORD-2026-0005,Packaging,2026-04-24 14:10:40,Warehouse,B2C,standard,3,EuroMotor
ORD-2026-0005,Shipping,2026-04-24 15:30:05,Logistics,B2C,standard,3,EuroMotor
ORD-2026-0007,Packaging,2026-04-24 17:45:28,Warehouse,B2C,standard,1,AsiaBatt
ORD-2026-0012,Sales Order Received,2026-04-27 08:17:00,Sales,B2B,standard,7,AsiaBatt
ORD-2026-0013,Sales Order Received,2026-04-27 08:32:00,Sales,B2C,standard,2,PowerTech
ORD-2026-0012,Credit Check,2026-04-27 08:35:54,Finance,B2B,standard,7,AsiaBatt
ORD-2026-0013,Credit Check,2026-04-27 08:47:51,Finance,B2C,standard,2,PowerTech
ORD-2026-0011,Production Completed,2026-04-27 09:09:11,Production,B2C,standard,1,EuroMotor
ORD-2026-0007,Shipping,2026-04-27 10:00:50,Logistics,B2C,standard,1,AsiaBatt
ORD-2026-0014,Sales Order Received,2026-04-27 10:32:00,Sales,B2C,standard,1,AsiaBatt
ORD-2026-0014,Credit Check,2026-04-27 10:40:37,Finance,B2C,standard,1,AsiaBatt
ORD-2026-0015,Sales Order Received,2026-04-27 10:41:00,Sales,B2C,urgent,3,EuroMotor
ORD-2026-0015,Credit Check,2026-04-27 10:51:20,Finance,B2C,urgent,3,EuroMotor
ORD-2026-0016,Sales Order Received,2026-04-27 10:57:00,Sales,B2C,standard,3,IberElec
ORD-2026-0016,Credit Check,2026-04-27 11:12:02,Finance,B2C,standard,3,IberElec
ORD-2026-0011,QC Finished Goods,2026-04-27 12:00:42,Quality,B2C,standard,1,EuroMotor
ORD-2026-0004,Production Completed,2026-04-27 12:27:41,Production,B2C,standard,2,IberElec
ORD-2026-0013,MRP Calculation,2026-04-27 12:40:27,Planning,B2C,standard,2,PowerTech
ORD-2026-0013,Purchase Order Created,2026-04-27 12:46:27,Purchasing,B2C,standard,2,PowerTech
ORD-2026-0001,Components Received,2026-04-27 13:33:29,Warehouse,B2C,standard,3,AsiaBatt
ORD-2026-0004,QC Finished Goods,2026-04-27 14:05:28,Quality,B2C,standard,2,IberElec
ORD-2026-0016,Production Started,2026-04-27 14:07:04,Production,B2C,standard,3,IberElec
ORD-2026-0014,MRP Calculation,2026-04-27 14:42:29,Planning,B2C,standard,1,AsiaBatt
ORD-2026-0015,MRP Calculation,2026-04-27 15:47:13,Planning,B2C,urgent,3,EuroMotor
ORD-2026-0017,Sales Order Received,2026-04-27 16:21:00,Sales,B2B,standard,38,EuroMotor
ORD-2026-0011,Packaging,2026-04-27 16:36:52,Warehouse,B2C,standard,1,EuroMotor
ORD-2026-0004,Packaging,2026-04-27 16:38:32,Warehouse,B2C,standard,2,IberElec
ORD-2026-0018,Sales Order Received,2026-04-27 16:43:00,Sales,B2B,standard,25,EuroMotor
ORD-2026-0017,Credit Check,2026-04-27 16:44:01,Finance,B2B,standard,38,EuroMotor
ORD-2026-0018,Credit Check,2026-04-27 17:01:27,Finance,B2B,standard,25,EuroMotor
ORD-2026-0019,Sales Order Received,2026-04-27 17:14:00,Sales,B2C,standard,1,PowerTech
ORD-2026-0014,Purchase Order Created,2026-04-27 17:37:28,Purchasing,B2C,standard,1,AsiaBatt
ORD-2026-0019,Credit Check,2026-04-27 17:44:50,Finance,B2C,standard,1,PowerTech
ORD-2026-0001,QC Incoming,2026-04-27 17:49:47,Quality,B2C,standard,3,AsiaBatt
ORD-2026-0011,Shipping,2026-04-28 08:08:14,Logistics,B2C,standard,1,EuroMotor
ORD-2026-0004,Shipping,2026-04-28 08:45:16,Logistics,B2C,standard,2,IberElec
ORD-2026-0001,Production Started,2026-04-28 09:31:29,Production,B2C,standard,3,AsiaBatt
ORD-2026-0015,Purchase Order Created,2026-04-28 09:55:15,Purchasing,B2C,urgent,3,EuroMotor
ORD-2026-0020,Sales Order Received,2026-04-28 10:41:00,Sales,B2C,standard,2,EuroMotor
ORD-2026-0017,MRP Calculation,2026-04-28 10:41:45,Planning,B2B,standard,38,EuroMotor
ORD-2026-0020,Credit Check,2026-04-28 11:01:37,Finance,B2C,standard,2,EuroMotor
ORD-2026-0021,Sales Order Received,2026-04-28 11:41:00,Sales,B2C,standard,1,AsiaBatt
ORD-2026-0022,Sales Order Received,2026-04-28 11:41:00,Sales,B2C,standard,3,AsiaBatt
ORD-2026-0021,Credit Check,2026-04-28 11:54:46,Finance,B2C,standard,1,AsiaBatt
ORD-2026-0022,Credit Check,2026-04-28 11:57:03,Finance,B2C,standard,3,AsiaBatt
ORD-2026-0023,Sales Order Received,2026-04-28 12:20:00,Sales,B2C,standard,2,AsiaBatt
ORD-2026-0023,Credit Check,2026-04-28 12:38:40,Finance,B2C,standard,2,AsiaBatt
ORD-2026-0024,Sales Order Received,2026-04-28 12:50:00,Sales,B2C,standard,3,IberElec
ORD-2026-0024,MRP Calculation,2026-04-28 13:08:49,Planning,B2C,standard,3,IberElec
ORD-2026-0012,MRP Calculation,2026-04-28 13:15:32,Planning,B2B,standard,7,AsiaBatt
ORD-2026-0020,MRP Calculation,2026-04-28 14:09:18,Planning,B2C,standard,2,EuroMotor
ORD-2026-0016,Production Completed,2026-04-28 14:55:35,Production,B2C,standard,3,IberElec
ORD-2026-0016,QC Finished Goods,2026-04-28 15:56:13,Quality,B2C,standard,3,IberElec
ORD-2026-0025,Sales Order Received,2026-04-28 16:29:00,Sales,B2C,standard,2,AsiaBatt
ORD-2026-0019,MRP Calculation,2026-04-28 16:29:39,Planning,B2C,standard,1,PowerTech
ORD-2026-0025,Credit Check,2026-04-28 16:45:12,Finance,B2C,standard,2,AsiaBatt
ORD-2026-0022,MRP Calculation,2026-04-28 17:44:24,Planning,B2C,standard,3,AsiaBatt
ORD-2026-0018,MRP Calculation,2026-04-28 17:49:52,Planning,B2B,standard,25,EuroMotor
ORD-2026-0016,Packaging,2026-04-29 08:56:48,Warehouse,B2C,standard,3,IberElec
ORD-2026-0021,MRP Calculation,2026-04-29 09:10:20,Planning,B2C,standard,1,AsiaBatt
ORD-2026-0023,MRP Calculation,2026-04-29 09:47:40,Planning,B2C,standard,2,AsiaBatt
ORD-2026-0026,Sales Order Received,2026-04-29 10:05:00,Sales,B2C,standard,2,IberElec
ORD-2026-0026,Credit Check,2026-04-29 10:11:00,Finance,B2C,standard,2,IberElec
ORD-2026-0016,Shipping,2026-04-29 10:16:38,Logistics,B2C,standard,3,IberElec
ORD-2026-0017,Purchase Order Created,2026-04-29 10:32:19,Purchasing,B2B,standard,38,EuroMotor
ORD-2026-0007,Delivered,2026-04-29 10:38:39,Logistics,B2C,standard,1,AsiaBatt
ORD-2026-0012,Purchase Order Created,2026-04-29 11:00:11,Purchasing,B2B,standard,7,AsiaBatt
ORD-2026-0005,Delivered,2026-04-29 11:03:39,Logistics,B2C,standard,3,EuroMotor
ORD-2026-0024,Credit Check,2026-04-29 11:50:25,Finance,B2C,standard,3,IberElec
ORD-2026-0025,MRP Calculation,2026-04-29 12:02:13,Planning,B2C,standard,2,AsiaBatt
ORD-2026-0020,Purchase Order Created,2026-04-29 12:41:01,Purchasing,B2C,standard,2,EuroMotor
ORD-2026-0021,Purchase Order Created,2026-04-29 13:28:35,Purchasing,B2C,standard,1,AsiaBatt
ORD-2026-0018,Purchase Order Created,2026-04-29 13:51:38,Purchasing,B2B,standard,25,EuroMotor
ORD-2026-0027,Sales Order Received,2026-04-29 13:56:00,Sales,B2C,standard,3,IberElec
ORD-2026-0027,Credit Check,2026-04-29 14:04:56,Finance,B2C,standard,3,IberElec
ORD-2026-0026,Production Started,2026-04-29 14:19:49,Production,B2C,standard,2,IberElec
ORD-2026-0027,MRP Calculation,2026-04-29 15:23:09,Planning,B2C,standard,3,IberElec
ORD-2026-0003,Components Received,2026-04-29 15:39:29,Warehouse,B2C,standard,2,EuroMotor
ORD-2026-0001,Production Completed,2026-04-29 16:49:05,Production,B2C,standard,3,AsiaBatt
ORD-2026-0022,Purchase Order Created,2026-04-29 16:51:23,Purchasing,B2C,standard,3,AsiaBatt
ORD-2026-0019,Purchase Order Created,2026-04-29 16:57:32,Purchasing,B2C,standard,1,PowerTech
ORD-2026-0025,Purchase Order Created,2026-04-29 17:19:10,Purchasing,B2C,standard,2,AsiaBatt
ORD-2026-0014,Components Received,2026-04-30 08:52:53,Warehouse,B2C,standard,1,AsiaBatt
ORD-2026-0023,Purchase Order Created,2026-04-30 08:56:22,Purchasing,B2C,standard,2,AsiaBatt
ORD-2026-0001,QC Finished Goods,2026-04-30 08:57:00,Quality,B2C,standard,3,AsiaBatt
ORD-2026-0024,Purchase Order Created,2026-04-30 09:35:08,Purchasing,B2C,standard,3,IberElec
ORD-2026-0001,Packaging,2026-04-30 10:21:34,Warehouse,B2C,standard,3,AsiaBatt
ORD-2026-0003,QC Incoming,2026-04-30 10:26:17,Quality,B2C,standard,2,EuroMotor
ORD-2026-0014,QC Incoming,2026-04-30 10:55:30,Quality,B2C,standard,1,AsiaBatt
ORD-2026-0003,Production Started,2026-04-30 11:33:52,Production,B2C,standard,2,EuroMotor
ORD-2026-0014,Production Started,2026-04-30 11:42:33,Production,B2C,standard,1,AsiaBatt
ORD-2026-0001,Shipping,2026-04-30 12:11:20,Logistics,B2C,standard,3,AsiaBatt
ORD-2026-0004,Delivered,2026-04-30 13:07:17,Logistics,B2C,standard,2,IberElec
ORD-2026-0011,Delivered,2026-04-30 13:26:12,Logistics,B2C,standard,1,EuroMotor
ORD-2026-0027,Purchase Order Created,2026-04-30 14:42:59,Purchasing,B2C,standard,3,IberElec
ORD-2026-0012,Components Received,2026-04-30 17:05:15,Warehouse,B2B,standard,7,AsiaBatt
ORD-2026-0002,Components Received,2026-05-01 09:12:33,Warehouse,B2C,standard,1,EuroMotor
ORD-2026-0026,Production Completed,2026-05-01 09:32:15,Production,B2C,standard,2,IberElec
ORD-2026-0001,Delivered,2026-05-01 10:34:15,Logistics,B2C,standard,3,AsiaBatt
ORD-2026-0026,QC Finished Goods,2026-05-01 11:12:15,Quality,B2C,standard,2,IberElec
ORD-2026-0012,QC Incoming,2026-05-01 12:20:43,Quality,B2B,standard,7,AsiaBatt
ORD-2026-0026,Packaging,2026-05-01 12:31:12,Warehouse,B2C,standard,2,IberElec
ORD-2026-0026,Shipping,2026-05-01 13:11:33,Logistics,B2C,standard,2,IberElec
ORD-2026-0002,QC Incoming,2026-05-01 13:11:41,Quality,B2C,standard,1,EuroMotor
ORD-2026-0012,Production Started,2026-05-01 13:44:08,Production,B2B,standard,7,AsiaBatt
ORD-2026-0002,Production Started,2026-05-01 14:07:50,Production,B2C,standard,1,EuroMotor
ORD-2026-0012,Production Completed,2026-05-01 15:56:46,Production,B2B,standard,7,AsiaBatt
ORD-2026-0028,Sales Order Received,2026-05-01 15:59:00,Sales,B2C,standard,1,EuroMotor
